loan_status,annual_inc,verification_status,emp_length,home_ownership,int_rate,loan_amnt,purpose,term,grade
Charged Off,50400,Not Verified,9 years,RENT,8.90,1800,wedding, 36 months,A
Fully Paid,60000,Verified,10+ years,MORTGAGE,16.77,10000,debt_consolidation, 36 months,D
Fully Paid,88000,Not Verified,10+ years,MORTGAGE,6.03,12475,home_improvement, 36 months,A
Fully Paid,44000,Not Verified,4 years,MORTGAGE,7.51,3200,debt_consolidation, 36 months,A
Fully Paid,40000,Not Verified,10+ years,RENT,6.62,5500,other, 36 months,A
Charged Off,38500,Verified,1 year,RENT,19.42,14675,debt_consolidation, 60 months,E
Charged Off,85000,Verified,10+ years,MORTGAGE,23.52,23200,debt_consolidation, 60 months,G
Charged Off,28500,Not Verified,3 years,RENT,15.96,3825,debt_consolidation, 36 months,C
Fully Paid,1.00E+05,Not Verified,5 years,RENT,6.03,5000,debt_consolidation, 36 months,A
Fully Paid,45600,Source Verified,3 years,MORTGAGE,14.65,12000,debt_consolidation, 36 months,C
Fully Paid,74000,Verified,6 years,RENT,11.71,8500,credit_card, 36 months,B
Fully Paid,76800,Not Verified,4 years,MORTGAGE,8.90,12000,credit_card, 36 months,A
Fully Paid,96000,Source Verified,10+ years,MORTGAGE,12.42,31000,credit_card, 60 months,B
Fully Paid,55172,Not Verified,10+ years,MORTGAGE,10.65,12600,debt_consolidation, 60 months,B
Fully Paid,33000,Verified,2 years,RENT,15.27,7600,major_purchase, 36 months,C
Fully Paid,16800,Source Verified,2 years,RENT,16.77,2750,credit_card, 36 months,D
Fully Paid,72000,Verified,6 years,RENT,11.71,20000,debt_consolidation, 36 months,B
Fully Paid,45600,Source Verified,10+ years,MORTGAGE,6.62,7000,car, 36 months,A
Fully Paid,80400,Source Verified,6 years,RENT,10.65,7000,debt_consolidation, 36 months,B
Fully Paid,91200,Source Verified,2 years,RENT,22.06,24000,small_business, 60 months,F
Fully Paid,90000,Source Verified,10+ years,MORTGAGE,6.62,13200,debt_consolidation, 36 months,A
Fully Paid,48000,Source Verified,7 years,RENT,11.71,6000,debt_consolidation, 36 months,B
Fully Paid,40000,Not Verified,4 years,MORTGAGE,12.42,4625,medical, 36 months,B
Fully Paid,65000,Source Verified,10+ years,MORTGAGE,19.42,13000,debt_consolidation, 60 months,E
Fully Paid,50000,Source Verified,4 years,RENT,14.65,11200,other, 60 months,C
Fully Paid,150000,Source Verified,10+ years,MORTGAGE,6.03,6000,home_improvement, 36 months,A
Charged Off,65000,Verified,10+ years,MORTGAGE,18.64,17600,small_business, 60 months,E
Fully Paid,27600,Source Verified,2 years,OWN,11.71,2500,major_purchase, 36 months,B
Fully Paid,130000,Source Verified,< 1 year,RENT,6.03,15000,debt_consolidation, 36 months,A
Charged Off,36000,Verified,6 years,RENT,14.27,8000,debt_consolidation, 36 months,C
Fully Paid,95000,Verified,10+ years,MORTGAGE,9.91,15000,debt_consolidation, 36 months,B
Fully Paid,51996,Not Verified,1 year,RENT,10.65,14000,other, 60 months,B
Fully Paid,79200,Not Verified,10+ years,OWN,6.62,3800,home_improvement, 36 months,A
Charged Off,110000,Verified,5 years,OWN,12.69,35000,other, 60 months,B
Fully Paid,14400,Source Verified,< 1 year,OWN,12.69,3000,debt_consolidation, 36 months,B
Fully Paid,70000,Source Verified,3 years,RENT,14.27,5600,credit_card, 36 months,C
Fully Paid,85000,Verified,5 years,RENT,15.27,12000,debt_consolidation, 36 months,C
Fully Paid,78000,Source Verified,10+ years,MORTGAGE,18.64,27250,debt_consolidation, 60 months,E
Fully Paid,45000,Not Verified,9 years,OWN,6.03,12000,debt_consolidation, 36 months,A
Fully Paid,57600,Verified,10+ years,MORTGAGE,10.65,25000,debt_consolidation, 60 months,B
Fully Paid,80000,Verified,8 years,MORTGAGE,6.62,13000,debt_consolidation, 36 months,A
Fully Paid,72000,Source Verified,< 1 year,RENT,7.90,8000,major_purchase, 36 months,A
Fully Paid,104000,Not Verified,10+ years,MORTGAGE,6.03,13600,home_improvement, 36 months,A
Fully Paid,103800,Source Verified,1 year,MORTGAGE,12.69,30000,home_improvement, 60 months,B
Fully Paid,52000,Source Verified,4 years,MORTGAGE,8.90,8000,debt_consolidation, 36 months,A
Fully Paid,2.00E+05,Source Verified,3 years,MORTGAGE,8.90,30000,debt_consolidation, 36 months,A
Fully Paid,63372,Verified,7 years,RENT,10.65,3000,car, 36 months,B
Fully Paid,155000,Verified,10+ years,MORTGAGE,19.03,24000,debt_consolidation, 60 months,E
Fully Paid,90000,Verified,10+ years,RENT,17.58,15000,credit_card, 36 months,D
Fully Paid,60000,Verified,< 1 year,OWN,21.67,9400,other, 60 months,F
Fully Paid,97500,Verified,1 year,MORTGAGE,14.27,20000,debt_consolidation, 60 months,C
Fully Paid,6000,Verified,3 years,OWN,6.03,1300,other, 36 months,A
Fully Paid,45000,Source Verified,2 years,RENT,7.51,10000,debt_consolidation, 36 months,A
Fully Paid,50000,Not Verified,4 years,RENT,6.62,8000,debt_consolidation, 36 months,A
Fully Paid,33204,Source Verified,5 years,RENT,9.91,2800,debt_consolidation, 60 months,B
Fully Paid,77100,Verified,8 years,RENT,12.42,35000,medical, 36 months,B
Fully Paid,35004,Verified,2 years,RENT,13.49,2700,other, 36 months,C
Charged Off,90000,Verified,10+ years,MORTGAGE,19.42,35000,debt_consolidation, 60 months,E
Fully Paid,76700,Source Verified,7 years,MORTGAGE,11.71,19000,debt_consolidation, 60 months,B
Charged Off,70000,Verified,10+ years,MORTGAGE,12.42,23000,debt_consolidation, 60 months,B
Fully Paid,106000,Verified,10+ years,MORTGAGE,10.65,12175,debt_consolidation, 60 months,B
Fully Paid,62000,Verified,10+ years,RENT,14.27,25000,debt_consolidation, 60 months,C
Fully Paid,52273,Source Verified,3 years,RENT,11.71,5000,debt_consolidation, 36 months,B
Charged Off,65000,Verified,2 years,MORTGAGE,19.91,12000,debt_consolidation, 60 months,E
Fully Paid,60000,Verified,6 years,RENT,15.27,25000,debt_consolidation, 60 months,C
Fully Paid,95000,Not Verified,10+ years,MORTGAGE,6.03,3500,small_business, 36 months,A
Fully Paid,124000,Not Verified,4 years,MORTGAGE,6.03,16000,house, 36 months,A
Fully Paid,148080,Verified,< 1 year,RENT,8.90,20000,debt_consolidation, 36 months,A
Charged Off,50000,Source Verified,7 years,MORTGAGE,11.71,7500,debt_consolidation, 36 months,B
Fully Paid,40000,Source Verified,5 years,RENT,12.42,5000,debt_consolidation, 36 months,B
Fully Paid,95000,Verified,6 years,MORTGAGE,7.90,35000,debt_consolidation, 36 months,A
Charged Off,1.00E+05,Source Verified,9 years,OWN,10.65,10000,other, 60 months,B
Fully Paid,57000,Source Verified,5 years,RENT,18.64,10000,debt_consolidation, 36 months,E
Fully Paid,90000,Not Verified,10+ years,MORTGAGE,7.90,3600,other, 36 months,A
Fully Paid,48000,Source Verified,9 years,RENT,15.96,5600,debt_consolidation, 36 months,C
Fully Paid,42000,Source Verified,< 1 year,RENT,15.27,14000,debt_consolidation, 60 months,C
Fully Paid,21600,Verified,6 years,MORTGAGE,6.62,7575,debt_consolidation, 36 months,A
Fully Paid,62500,Verified,4 years,MORTGAGE,7.90,23525,debt_consolidation, 36 months,A
Fully Paid,54000,Not Verified,6 years,RENT,7.90,10000,debt_consolidation, 36 months,A
Fully Paid,92000,Verified,6 years,RENT,17.27,35000,debt_consolidation, 60 months,D
Fully Paid,45760,Verified,< 1 year,MORTGAGE,8.90,9300,debt_consolidation, 36 months,A
Fully Paid,43200,Source Verified,1 year,MORTGAGE,16.77,8400,debt_consolidation, 36 months,D
Fully Paid,70000,Not Verified,10+ years,MORTGAGE,6.03,17000,debt_consolidation, 36 months,A
Fully Paid,20000,Source Verified,4 years,RENT,10.65,5000,debt_consolidation, 36 months,B
Fully Paid,75000,Verified,< 1 year,MORTGAGE,19.42,20000,debt_consolidation, 60 months,E
Fully Paid,65000,Source Verified,10+ years,MORTGAGE,16.77,3000,major_purchase, 36 months,D
Fully Paid,42000,Source Verified,4 years,OWN,6.03,12000,credit_card, 36 months,A
Fully Paid,88000,Verified,< 1 year,RENT,16.77,15000,debt_consolidation, 60 months,D
Fully Paid,96000,Not Verified,4 years,MORTGAGE,12.69,5500,debt_consolidation, 36 months,B
Fully Paid,24000,Source Verified,2 years,RENT,7.51,1450,debt_consolidation, 36 months,A
Fully Paid,150000,Verified,10+ years,RENT,11.71,30000,debt_consolidation, 60 months,B
Fully Paid,50000,Source Verified,< 1 year,RENT,7.90,8000,small_business, 36 months,A
Charged Off,27600,Not Verified,10+ years,OWN,7.90,7000,medical, 36 months,A
Fully Paid,60000,Verified,5 years,RENT,14.27,10000,wedding, 36 months,C
Fully Paid,102000,Verified,10+ years,OWN,12.69,20000,debt_consolidation, 60 months,B
Fully Paid,47000,Not Verified,5 years,MORTGAGE,7.90,6600,home_improvement, 36 months,A
Fully Paid,30000,Source Verified,3 years,RENT,11.71,6000,debt_consolidation, 36 months,B
Fully Paid,120000,Verified,2 years,MORTGAGE,16.77,7000,wedding, 36 months,D
Fully Paid,23400,Not Verified,3 years,RENT,12.42,4000,debt_consolidation, 36 months,B
Charged Off,59000,Not Verified,1 year,RENT,14.27,12350,medical, 60 months,C
Fully Paid,52000,Source Verified,10+ years,RENT,11.71,10000,debt_consolidation, 36 months,B
Fully Paid,60000,Verified,7 years,MORTGAGE,16.77,12000,debt_consolidation, 36 months,D
Charged Off,75000,Verified,10+ years,MORTGAGE,23.13,18400,house, 60 months,G
Fully Paid,80000,Verified,2 years,MORTGAGE,17.58,24000,debt_consolidation, 60 months,D
Fully Paid,54000,Not Verified,10+ years,MORTGAGE,7.90,10000,house, 36 months,A
Fully Paid,36000,Source Verified,9 years,RENT,9.91,20000,debt_consolidation, 60 months,B
Fully Paid,52800,Source Verified,3 years,RENT,16.29,15000,other, 36 months,D
Fully Paid,26400,Source Verified,< 1 year,RENT,14.27,3600,other, 36 months,C
Fully Paid,25920,Not Verified,7 years,MORTGAGE,10.65,11325,house, 36 months,B
Fully Paid,68000,Verified,10+ years,MORTGAGE,12.42,25000,debt_consolidation, 60 months,B
Fully Paid,65000,Source Verified,1 year,RENT,13.49,3100,moving, 36 months,C
Fully Paid,150000,Source Verified,10+ years,MORTGAGE,7.90,20000,credit_card, 36 months,A
Fully Paid,75000,Verified,3 years,MORTGAGE,6.03,14400,major_purchase, 36 months,A
Fully Paid,31200,Verified,6 years,MORTGAGE,13.49,5850,debt_consolidation, 36 months,C
Fully Paid,124800,Not Verified,2 years,MORTGAGE,6.62,5000,car, 36 months,A
Fully Paid,45000,Not Verified,2 years,MORTGAGE,6.62,3000,home_improvement, 36 months,A
Charged Off,88000,Verified,7 years,MORTGAGE,11.71,35000,small_business, 60 months,B
Fully Paid,77000,Not Verified,2 years,RENT,11.71,12000,debt_consolidation, 36 months,B
Fully Paid,55000,Verified,5 years,RENT,15.96,30000,debt_consolidation, 60 months,C
Fully Paid,50000,Verified,7 years,OWN,12.69,20000,credit_card, 36 months,B
Charged Off,43200,Not Verified,9 years,RENT,7.90,7000,vacation, 36 months,A
Fully Paid,39000,Not Verified,2 years,RENT,6.62,8000,debt_consolidation, 36 months,A
Fully Paid,83000,Not Verified,6 years,MORTGAGE,9.91,5000,car, 36 months,B
Fully Paid,85000,Source Verified,1 year,RENT,13.49,17500,debt_consolidation, 36 months,C
Fully Paid,58800,Source Verified,4 years,RENT,7.90,9000,debt_consolidation, 36 months,A
Fully Paid,79416,Not Verified,10+ years,MORTGAGE,13.49,6000,debt_consolidation, 36 months,C
Fully Paid,48661.8,Source Verified,7 years,MORTGAGE,17.58,8000,other, 36 months,D
Charged Off,30000,Source Verified,6 years,RENT,12.69,7200,debt_consolidation, 36 months,B
Fully Paid,120000,Not Verified,9 years,RENT,16.29,7500,wedding, 36 months,D
Fully Paid,24000,Not Verified,2 years,RENT,10.65,2500,small_business, 36 months,B
Fully Paid,40000,Source Verified,< 1 year,RENT,12.69,6000,debt_consolidation, 36 months,B
Fully Paid,60000,Verified,1 year,RENT,6.62,13200,wedding, 36 months,A
Fully Paid,52000,Source Verified,< 1 year,RENT,10.65,16800,major_purchase, 60 months,B
Charged Off,50000,Source Verified,5 years,RENT,7.90,7500,small_business, 36 months,A
Fully Paid,41000,Source Verified,3 years,RENT,8.90,6000,credit_card, 36 months,A
Fully Paid,50000,Source Verified,8 years,RENT,17.27,9525,debt_consolidation, 60 months,D
Fully Paid,65000,Source Verified,< 1 year,MORTGAGE,7.90,12000,debt_consolidation, 36 months,A
Fully Paid,74700,Source Verified,10+ years,OWN,9.91,14000,small_business, 36 months,B
Fully Paid,76800,Source Verified,< 1 year,MORTGAGE,15.96,13000,medical, 36 months,C
Fully Paid,57048,Verified,10+ years,RENT,14.27,30000,debt_consolidation, 60 months,C
Charged Off,34320,Not Verified,2 years,RENT,6.62,9000,major_purchase, 36 months,A
Charged Off,55000,Not Verified,10+ years,RENT,6.62,10000,other, 36 months,A
Fully Paid,40000,Verified,10+ years,RENT,13.49,15850,debt_consolidation, 60 months,C
Fully Paid,54000,Not Verified,10+ years,MORTGAGE,6.03,6000,car, 36 months,A
Fully Paid,96000,Source Verified,7 years,MORTGAGE,8.90,15000,debt_consolidation, 60 months,A
Fully Paid,32500,Verified,4 years,MORTGAGE,6.62,8975,debt_consolidation, 36 months,A
Charged Off,40000,Source Verified,1 year,RENT,7.90,8000,credit_card, 36 months,A
Fully Paid,50000,Source Verified,5 years,RENT,6.62,11975,debt_consolidation, 36 months,A
Fully Paid,110256,Verified,10+ years,MORTGAGE,16.77,21000,debt_consolidation, 60 months,D
Fully Paid,144000,Verified,10+ years,MORTGAGE,8.90,11000,debt_consolidation, 36 months,A
Fully Paid,2.00E+05,Verified,2 years,MORTGAGE,8.90,15000,major_purchase, 36 months,A
Charged Off,50000,Not Verified,9 years,RENT,11.71,8000,other, 36 months,B
Fully Paid,68000,Source Verified,10+ years,RENT,13.49,11200,wedding, 36 months,C
Fully Paid,22000,Not Verified,2 years,RENT,12.69,3200,debt_consolidation, 36 months,B
Fully Paid,50400,Not Verified,10+ years,RENT,12.42,8400,debt_consolidation, 36 months,B
Charged Off,150000,Source Verified,10+ years,MORTGAGE,19.91,2400,home_improvement, 36 months,E
Fully Paid,62000,Source Verified,8 years,MORTGAGE,16.29,7000,home_improvement, 36 months,D
Fully Paid,98000,Not Verified,5 years,RENT,15.96,6000,debt_consolidation, 36 months,C
Charged Off,68000,Verified,10+ years,RENT,13.49,9600,other, 60 months,C
Fully Paid,90000,Verified,< 1 year,MORTGAGE,12.42,13000,debt_consolidation, 36 months,B
Fully Paid,50400,Not Verified,4 years,OWN,10.65,5150,car, 60 months,B
Fully Paid,120000,Source Verified,4 years,MORTGAGE,13.49,15000,debt_consolidation, 36 months,C
Fully Paid,90000,Not Verified,1 year,OWN,7.51,7500,credit_card, 36 months,A
Charged Off,38397,Verified,6 years,MORTGAGE,13.49,15850,medical, 60 months,C
Fully Paid,27040,Verified,2 years,RENT,7.90,6000,wedding, 36 months,A
Fully Paid,35000,Not Verified,1 year,OWN,7.90,10000,debt_consolidation, 36 months,A
Charged Off,92000,Verified,5 years,RENT,20.89,15000,debt_consolidation, 60 months,F
Fully Paid,60000,Source Verified,10+ years,RENT,16.77,1500,other, 36 months,D
Charged Off,79864,Verified,5 years,MORTGAGE,22.06,20000,debt_consolidation, 60 months,F
Fully Paid,65000,Verified,10+ years,MORTGAGE,11.71,21000,debt_consolidation, 60 months,B
Fully Paid,40008,Not Verified,10+ years,OWN,11.71,12000,debt_consolidation, 36 months,B
Fully Paid,93000,Verified,1 year,MORTGAGE,14.27,30000,debt_consolidation, 60 months,C
Fully Paid,62208,Source Verified,10+ years,MORTGAGE,16.29,12000,debt_consolidation, 36 months,D
Fully Paid,60000,Not Verified,2 years,OWN,6.03,5000,debt_consolidation, 36 months,A
Charged Off,97000,Verified,10+ years,RENT,10.65,30000,house, 36 months,B
Fully Paid,40000,Not Verified,2 years,RENT,14.27,11250,debt_consolidation, 36 months,C
Fully Paid,45000,Source Verified,< 1 year,RENT,12.69,7800,debt_consolidation, 36 months,B
Fully Paid,81996,Verified,6 years,RENT,12.42,30000,debt_consolidation, 60 months,B
Fully Paid,60000,Verified,5 years,MORTGAGE,8.90,17000,credit_card, 36 months,A
Fully Paid,94800,Verified,10+ years,MORTGAGE,6.03,14000,credit_card, 36 months,A
Fully Paid,35000,Source Verified,2 years,RENT,8.90,2500,debt_consolidation, 36 months,A
Fully Paid,50000,Not Verified,5 years,RENT,17.27,15000,debt_consolidation, 60 months,D
Fully Paid,95000,Verified,6 years,RENT,11.71,24000,debt_consolidation, 60 months,B
Fully Paid,55000,Source Verified,1 year,MORTGAGE,7.51,9000,debt_consolidation, 36 months,A
Charged Off,30660,Verified,4 years,RENT,10.65,17050,debt_consolidation, 60 months,B
Fully Paid,90000,Source Verified,6 years,MORTGAGE,10.65,3000,other, 60 months,B
Fully Paid,30000,Not Verified,3 years,OWN,6.03,1925,debt_consolidation, 36 months,A
Fully Paid,135000,Verified,10+ years,MORTGAGE,19.91,35000,debt_consolidation, 60 months,E
Fully Paid,25995,Verified,6 years,MORTGAGE,14.27,6625,debt_consolidation, 60 months,C
Fully Paid,40000,Not Verified,3 years,RENT,7.90,1000,other, 36 months,A
Fully Paid,60000,Verified,1 year,MORTGAGE,13.49,21600,debt_consolidation, 60 months,C
Fully Paid,107004,Not Verified,6 years,MORTGAGE,11.71,4200,other, 36 months,B
Charged Off,60000,Source Verified,3 years,RENT,22.74,12850,other, 60 months,G
Fully Paid,36000,Not Verified,2 years,MORTGAGE,7.51,4800,credit_card, 36 months,A
Fully Paid,30000,Source Verified,3 years,RENT,9.91,4200,car, 36 months,B
Fully Paid,148350,Verified,10+ years,MORTGAGE,6.03,5000,medical, 36 months,A
Fully Paid,56033,Verified,7 years,MORTGAGE,14.65,16000,credit_card, 36 months,C
Fully Paid,98300,Source Verified,< 1 year,MORTGAGE,12.42,12800,other, 60 months,B
Fully Paid,53313,Verified,10+ years,RENT,9.91,19850,debt_consolidation, 36 months,B
Fully Paid,90000,Verified,3 years,MORTGAGE,15.27,20000,credit_card, 60 months,C
Fully Paid,45000,Verified,6 years,MORTGAGE,11.71,15000,major_purchase, 60 months,B
Fully Paid,160000,Source Verified,7 years,RENT,12.69,8000,other, 36 months,B
Fully Paid,60000,Verified,7 years,MORTGAGE,7.90,15000,debt_consolidation, 36 months,A
Fully Paid,30000,Verified,1 year,RENT,13.49,3000,credit_card, 36 months,C
Charged Off,50000,Verified,10+ years,MORTGAGE,17.27,21850,debt_consolidation, 60 months,D
Fully Paid,115000,Verified,2 years,RENT,12.69,4000,major_purchase, 36 months,B
Charged Off,85800,Verified,4 years,OWN,12.42,34000,debt_consolidation, 60 months,B
Fully Paid,175000,Verified,10+ years,RENT,19.91,20000,credit_card, 60 months,E
Fully Paid,320000,Verified,10+ years,MORTGAGE,7.90,28000,home_improvement, 36 months,A
Fully Paid,77000,Not Verified,10+ years,RENT,17.27,14000,debt_consolidation, 60 months,D
Fully Paid,114000,Not Verified,10+ years,MORTGAGE,18.64,8000,debt_consolidation, 36 months,E
Fully Paid,43000,Source Verified,4 years,RENT,14.65,10000,wedding, 36 months,C
Fully Paid,140000,Verified,10+ years,RENT,19.03,12000,medical, 60 months,E
Fully Paid,48000,Source Verified,2 years,RENT,11.71,16000,credit_card, 60 months,B
Fully Paid,110000,Verified,10+ years,MORTGAGE,6.03,17000,debt_consolidation, 36 months,A
Charged Off,54000,Source Verified,10+ years,MORTGAGE,15.27,5000,home_improvement, 36 months,C
Fully Paid,62000,Source Verified,4 years,RENT,15.27,2000,debt_consolidation, 36 months,C
Fully Paid,90000,Source Verified,4 years,OWN,10.65,20000,small_business, 60 months,B
Fully Paid,39000,Not Verified,4 years,RENT,9.91,4500,debt_consolidation, 36 months,B
Fully Paid,44000,Source Verified,1 year,RENT,17.58,4100,vacation, 36 months,D
Fully Paid,43200,Not Verified,5 years,MORTGAGE,13.49,4200,other, 36 months,C
Fully Paid,58000,Not Verified,5 years,RENT,9.91,12000,debt_consolidation, 36 months,B
Fully Paid,78000,Verified,10+ years,MORTGAGE,18.25,18000,credit_card, 60 months,D
Charged Off,120000,Verified,10+ years,RENT,22.06,35000,debt_consolidation, 60 months,F
Fully Paid,53000,Verified,10+ years,MORTGAGE,16.29,10000,debt_consolidation, 36 months,D
Fully Paid,30000,Not Verified,2 years,RENT,6.03,3000,other, 36 months,A
Fully Paid,60000,Source Verified,< 1 year,RENT,8.90,4425,debt_consolidation, 36 months,A
Fully Paid,180000,Verified,8 years,MORTGAGE,7.51,28000,home_improvement, 36 months,A
Fully Paid,95000,Verified,10+ years,OWN,13.49,35000,home_improvement, 60 months,C
Charged Off,53000,Source Verified,10+ years,MORTGAGE,6.62,12000,debt_consolidation, 36 months,A
Charged Off,46525,Not Verified,8 years,MORTGAGE,14.65,4800,debt_consolidation, 36 months,C
Fully Paid,82500,Source Verified,5 years,RENT,8.90,2400,other, 36 months,A
Fully Paid,58000,Verified,5 years,MORTGAGE,11.71,31300,small_business, 36 months,B
Fully Paid,64480,Verified,3 years,MORTGAGE,19.42,32250,debt_consolidation, 60 months,E
Fully Paid,62000,Not Verified,10+ years,RENT,8.90,3000,credit_card, 36 months,A
Charged Off,39000,Not Verified,9 years,MORTGAGE,7.90,4000,debt_consolidation, 36 months,A
Fully Paid,65000,Source Verified,2 years,MORTGAGE,6.62,4800,debt_consolidation, 36 months,A
Fully Paid,115000,Source Verified,10+ years,MORTGAGE,12.69,14400,home_improvement, 36 months,B
Fully Paid,160000,Source Verified,10+ years,OWN,8.90,7000,debt_consolidation, 36 months,A
Charged Off,36000,Source Verified,2 years,RENT,14.27,5000,major_purchase, 60 months,C
Fully Paid,78500,Verified,1 year,MORTGAGE,12.69,20800,debt_consolidation, 60 months,B
Fully Paid,42000,Source Verified,9 years,RENT,7.90,4200,debt_consolidation, 36 months,A
Fully Paid,62400,Source Verified,4 years,MORTGAGE,8.90,7200,debt_consolidation, 36 months,A
Fully Paid,47500,Not Verified,4 years,RENT,8.90,4200,debt_consolidation, 36 months,A
Fully Paid,80000,Verified,5 years,MORTGAGE,7.90,18200,credit_card, 36 months,A
Fully Paid,115000,Verified,4 years,MORTGAGE,12.69,22000,debt_consolidation, 36 months,B
Fully Paid,84000,Source Verified,10+ years,MORTGAGE,15.27,20000,debt_consolidation, 36 months,C
Fully Paid,52000,Not Verified,< 1 year,RENT,16.29,3000,debt_consolidation, 36 months,D
Charged Off,64800,Verified,6 years,RENT,12.69,2800,other, 36 months,B
Fully Paid,48000,Verified,< 1 year,RENT,14.65,4000,moving, 36 months,C
Fully Paid,55000,Verified,6 years,MORTGAGE,11.71,3775,debt_consolidation, 36 months,B
Fully Paid,40296,Not Verified,6 years,RENT,15.96,2500,other, 60 months,C
Fully Paid,116000,Verified,10+ years,MORTGAGE,10.65,25000,small_business, 60 months,B
Fully Paid,37200,Not Verified,2 years,RENT,11.71,6000,other, 36 months,B
Charged Off,38400,Not Verified,10+ years,RENT,14.27,7500,other, 36 months,C
Charged Off,66000,Not Verified,5 years,MORTGAGE,10.65,11625,small_business, 60 months,B
Fully Paid,54996,Verified,10+ years,RENT,6.62,20000,other, 36 months,A
Fully Paid,36000,Source Verified,7 years,RENT,8.90,16000,credit_card, 36 months,A
Fully Paid,96000,Not Verified,10+ years,MORTGAGE,6.03,6000,car, 36 months,A
Fully Paid,20000,Not Verified,< 1 year,RENT,10.65,1000,debt_consolidation, 36 months,B
Fully Paid,85000,Not Verified,4 years,RENT,6.03,12000,credit_card, 36 months,A
Fully Paid,99000,Verified,3 years,RENT,16.77,14000,debt_consolidation, 60 months,D
Fully Paid,25200,Verified,< 1 year,RENT,14.27,2550,car, 36 months,C
Fully Paid,60000,Not Verified,10+ years,MORTGAGE,6.62,6000,other, 36 months,A
Charged Off,62400,Not Verified,1 year,RENT,7.90,3000,other, 36 months,A
Fully Paid,35000,Source Verified,1 year,OWN,12.69,8000,debt_consolidation, 36 months,B
Fully Paid,40000,Verified,3 years,RENT,11.71,13250,debt_consolidation, 36 months,B
Fully Paid,90000,Source Verified,5 years,MORTGAGE,6.62,11400,debt_consolidation, 36 months,A
Fully Paid,32000,Not Verified,6 years,RENT,17.27,8000,debt_consolidation, 36 months,D
Fully Paid,35000,Verified,5 years,RENT,13.49,17500,debt_consolidation, 60 months,C
Charged Off,43000,Source Verified,10+ years,RENT,15.96,5450,debt_consolidation, 36 months,C
Fully Paid,120996,Verified,10+ years,RENT,12.69,35000,debt_consolidation, 60 months,B
Fully Paid,108996,Verified,10+ years,MORTGAGE,19.42,22000,debt_consolidation, 36 months,E
Fully Paid,72000,Not Verified,10+ years,MORTGAGE,12.69,2400,other, 36 months,B
Fully Paid,175000,Verified,3 years,RENT,13.49,20000,debt_consolidation, 36 months,C
Fully Paid,50000,Verified,9 years,MORTGAGE,13.49,19425,debt_consolidation, 60 months,C
Fully Paid,1.00E+05,Not Verified,3 years,RENT,10.65,10000,debt_consolidation, 36 months,B
Fully Paid,48000,Not Verified,9 years,MORTGAGE,6.03,7500,major_purchase, 36 months,A
Fully Paid,135696,Source Verified,< 1 year,MORTGAGE,21.28,12650,debt_consolidation, 60 months,F
Fully Paid,42000,Verified,10+ years,MORTGAGE,9.91,10400,major_purchase, 60 months,B
Fully Paid,104000,Source Verified,10+ years,MORTGAGE,10.65,10000,debt_consolidation, 36 months,B
Fully Paid,87000,Verified,10+ years,MORTGAGE,17.27,35000,other, 36 months,D
Fully Paid,173467,Verified,10+ years,MORTGAGE,11.71,10000,debt_consolidation, 36 months,B
Charged Off,40000,Verified,10+ years,OWN,20.89,21725,debt_consolidation, 60 months,F
Fully Paid,98000,Verified,8 years,MORTGAGE,19.42,30000,credit_card, 60 months,E
Fully Paid,48000,Not Verified,7 years,MORTGAGE,8.90,10000,debt_consolidation, 36 months,A
Charged Off,65000,Verified,10+ years,RENT,19.03,18000,debt_consolidation, 60 months,E
Fully Paid,66000,Not Verified,9 years,RENT,7.90,10000,credit_card, 36 months,A
Fully Paid,61900,Verified,9 years,MORTGAGE,10.65,27000,debt_consolidation, 60 months,B
Charged Off,42000,Not Verified,4 years,RENT,9.91,4200,other, 36 months,B
Fully Paid,57000,Source Verified,2 years,RENT,7.90,10000,debt_consolidation, 36 months,A
Fully Paid,31000,Not Verified,2 years,RENT,8.90,2500,other, 36 months,A
Charged Off,55000,Source Verified,10+ years,RENT,10.65,3500,small_business, 36 months,B
Fully Paid,70000,Source Verified,< 1 year,RENT,7.90,13000,debt_consolidation, 36 months,A
Fully Paid,55000,Verified,4 years,RENT,12.69,20000,debt_consolidation, 60 months,B
Fully Paid,59800,Not Verified,3 years,MORTGAGE,11.71,12000,debt_consolidation, 60 months,B
Fully Paid,57886,Not Verified,7 years,MORTGAGE,7.90,4000,debt_consolidation, 36 months,A
Fully Paid,125000,Not Verified,3 years,RENT,12.69,7500,car, 36 months,B
Fully Paid,96000,Verified,10+ years,MORTGAGE,18.25,35000,debt_consolidation, 36 months,D
Charged Off,85000,Verified,10+ years,RENT,14.27,12000,medical, 60 months,C
Fully Paid,38400,Verified,6 years,RENT,11.71,16500,debt_consolidation, 60 months,B
Fully Paid,95000,Source Verified,6 years,OWN,12.69,8000,debt_consolidation, 36 months,B
Fully Paid,60000,Verified,10+ years,MORTGAGE,21.67,25000,debt_consolidation, 60 months,F
Fully Paid,85000,Not Verified,2 years,MORTGAGE,6.03,15000,home_improvement, 36 months,A
Fully Paid,98000,Not Verified,5 years,MORTGAGE,11.71,10000,major_purchase, 36 months,B
Charged Off,77160,Source Verified,10+ years,OWN,20.89,35000,debt_consolidation, 60 months,F
Fully Paid,28200,Not Verified,2 years,RENT,16.77,2500,moving, 36 months,D
