day,state,group_size,homeowner,car_age,car_value,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,A,B,C,D,E,F,G,cost
1,CT,1,0,0,f,0.0,22,22,0,3.0,7.0,2,0,3,3,0,0,1,683
1,CT,1,0,0,f,0.0,22,22,0,3.0,7.0,2,0,3,3,0,0,1,683
1,CT,1,0,0,f,0.0,22,22,0,3.0,7.0,2,0,1,3,0,0,1,673
1,FL,1,1,8,f,4.0,63,63,0,2.0,8.0,1,0,3,3,1,2,4,654
1,FL,1,1,8,f,4.0,63,63,0,2.0,8.0,1,1,1,3,1,2,4,631
3,ID,3,1,1,f,1.0,45,18,1,4.0,15.0,1,0,4,3,0,1,3,690
3,ID,3,1,1,f,1.0,45,18,1,4.0,15.0,1,0,4,3,0,1,3,654
3,ID,3,1,1,f,1.0,45,18,1,4.0,15.0,1,0,4,3,0,1,3,658
2,NY,1,0,5,d,2.0,25,25,0,4.0,4.0,1,1,4,3,1,0,4,685
2,NY,1,0,5,d,2.0,25,25,0,4.0,4.0,1,1,4,3,1,0,4,685
2,MD,1,1,15,e,3.0,62,62,0,4.0,4.0,1,1,3,3,1,2,2,640
2,MD,1,1,15,e,3.0,62,62,0,4.0,4.0,1,0,4,3,1,2,2,645
2,MD,1,1,15,e,3.0,62,62,0,4.0,4.0,1,0,4,3,1,2,2,645
2,MD,1,1,15,e,3.0,62,62,0,4.0,4.0,1,0,4,3,1,2,2,651
2,MD,1,1,15,e,3.0,62,62,0,4.0,4.0,1,0,4,3,1,2,2,651
4,FL,2,1,7,g,1.0,41,40,1,4.0,6.0,1,1,3,3,1,2,4,623
4,FL,2,1,7,g,1.0,41,40,1,4.0,6.0,1,1,3,3,1,2,3,635
3,IN,1,0,11,g,3.0,18,18,0,0.0,0.0,2,0,1,2,0,2,2,774
3,IN,1,0,11,g,3.0,18,18,0,4.0,1.0,2,0,2,2,0,2,2,758
3,IN,1,0,11,g,3.0,18,18,0,4.0,1.0,0,0,2,2,0,0,2,632
3,NV,1,1,2,h,4.0,49,49,0,0.0,0.0,0,0,1,1,0,0,2,621
3,NV,1,1,2,h,4.0,49,49,0,1.0,1.0,0,0,1,1,0,0,4,598
0,CT,1,0,13,e,4.0,48,48,0,2.0,1.0,1,0,2,3,1,0,1,638
0,CT,1,0,13,e,4.0,48,48,0,2.0,1.0,1,0,2,3,1,0,1,657
1,FL,1,0,1,d,1.0,73,73,0,4.0,7.0,1,0,4,3,1,1,3,626
1,FL,1,0,1,d,1.0,73,73,0,4.0,7.0,1,0,4,3,1,1,3,624
5,OK,1,1,1,e,0.0,59,59,0,1.0,6.0,0,0,1,1,0,0,4,604
5,OK,1,1,1,e,0.0,59,59,0,1.0,6.0,2,0,1,2,0,3,2,660
5,OK,1,1,1,e,0.0,59,59,0,1.0,6.0,2,0,1,2,0,3,2,679
5,OK,1,1,1,e,0.0,59,59,0,1.0,6.0,2,0,1,2,0,3,2,679
5,OK,1,1,1,e,0.0,59,59,0,1.0,6.0,2,0,1,2,0,3,2,668
5,OK,1,1,1,e,0.0,59,59,0,1.0,6.0,2,0,1,2,0,3,2,668
3,FL,1,0,3,d,2.0,55,55,0,1.0,12.0,1,1,1,1,1,2,3,674
3,FL,1,0,3,d,2.0,55,55,0,1.0,12.0,1,1,1,2,1,2,3,675
1,OK,1,1,13,e,0.0,69,69,0,1.0,4.0,1,1,1,1,1,2,4,640
1,OK,1,1,13,e,0.0,69,69,0,1.0,4.0,0,0,1,1,0,0,2,566
1,OK,1,1,8,d,0.0,69,69,0,1.0,4.0,0,0,1,1,0,0,2,574
1,OK,1,1,13,e,0.0,69,69,0,1.0,4.0,0,0,1,1,0,0,2,573
4,UT,2,1,5,g,0.0,32,30,1,0.0,0.0,1,1,1,1,0,2,2,683
4,UT,2,1,5,g,0.0,32,30,1,0.0,0.0,1,1,1,1,0,2,2,683
4,UT,2,1,5,g,0.0,32,30,1,0.0,0.0,1,1,1,1,1,2,2,686
4,UT,2,1,5,g,0.0,32,30,1,2.0,0.0,1,1,1,1,1,2,3,642
4,UT,2,1,5,g,0.0,32,30,1,2.0,0.0,1,1,1,1,1,2,3,642
4,UT,2,1,5,g,0.0,32,30,1,2.0,0.0,1,1,2,2,1,1,3,658
4,UT,2,1,5,g,0.0,32,30,1,2.0,0.0,1,1,2,2,1,1,3,658
4,UT,2,1,5,g,0.0,32,30,1,2.0,0.0,1,1,2,2,1,1,3,658
2,WA,1,0,24,d,4.0,50,50,0,1.0,7.0,2,0,1,1,0,3,2,628
2,WA,1,0,24,d,4.0,50,50,0,1.0,2.0,1,0,1,2,0,2,2,624
2,WA,1,0,24,d,4.0,50,50,0,1.0,2.0,0,1,1,2,0,0,2,610
2,WA,1,0,24,d,4.0,50,50,0,1.0,2.0,1,1,1,2,0,2,2,632
2,WA,1,0,24,d,4.0,50,50,0,1.0,2.0,1,1,1,2,0,2,2,632
2,WA,1,0,24,d,4.0,50,50,0,1.0,2.0,1,1,1,2,0,2,2,635
4,FL,1,1,3,d,4.0,38,38,0,1.0,3.0,1,1,1,3,1,2,3,712
4,FL,1,1,3,d,4.0,38,38,0,1.0,3.0,1,1,1,3,1,2,3,719
4,NY,1,1,3,f,1.0,67,67,0,4.0,5.0,1,1,3,3,0,0,2,639
4,NY,1,1,3,f,1.0,67,67,0,4.0,5.0,1,1,4,3,0,0,2,652
4,NY,1,1,3,f,1.0,67,67,0,4.0,5.0,1,1,4,3,0,0,2,653
4,NY,1,1,3,f,1.0,67,67,0,4.0,5.0,1,1,4,3,0,0,2,653
4,NY,1,1,3,f,1.0,67,67,0,4.0,5.0,1,1,4,3,0,0,2,653
4,NY,1,1,3,f,1.0,67,67,0,4.0,5.0,1,1,4,3,0,0,2,653
4,NY,1,1,3,f,1.0,67,67,0,4.0,5.0,1,1,4,3,1,0,2,658
2,FL,2,0,16,e,2.0,75,75,1,4.0,3.0,1,1,4,3,1,2,3,691
2,FL,2,0,16,e,2.0,75,75,1,4.0,3.0,1,1,4,3,1,2,3,695
3,AL,2,1,13,e,0.0,60,51,1,3.0,8.0,1,1,3,2,0,2,2,566
3,AL,2,1,13,e,0.0,60,51,1,3.0,8.0,1,1,3,2,0,2,2,566
1,OH,1,0,12,d,0.0,53,53,0,2.0,3.0,2,1,1,1,1,1,3,622
1,OH,1,0,12,d,0.0,53,53,0,2.0,3.0,1,1,1,1,0,2,3,627
3,FL,1,1,4,d,3.0,75,75,0,3.0,3.0,1,1,2,2,1,2,4,638
3,FL,1,1,4,d,3.0,75,75,0,3.0,3.0,1,1,2,2,1,2,4,663
3,FL,1,1,4,d,3.0,75,75,0,3.0,3.0,1,1,2,2,1,2,4,667
3,FL,1,1,4,d,3.0,75,75,0,3.0,3.0,1,1,2,2,1,2,4,667
3,FL,1,1,4,d,3.0,75,75,0,3.0,3.0,1,1,2,2,1,2,4,667
3,FL,1,1,4,d,3.0,75,75,0,3.0,3.0,1,1,2,2,0,2,4,659
1,AR,1,1,5,f,4.0,30,30,0,3.0,4.0,1,1,1,1,1,2,1,634
1,AR,1,1,5,f,4.0,30,30,0,3.0,4.0,1,1,3,3,1,2,1,641
1,AR,1,1,5,f,4.0,30,30,0,3.0,4.0,1,1,3,3,1,2,1,649
1,AR,1,1,5,f,4.0,30,30,0,3.0,4.0,1,1,3,3,1,2,1,641
1,AR,1,1,5,f,4.0,30,30,0,3.0,4.0,1,1,3,3,1,2,1,641
1,AR,1,1,5,f,4.0,30,30,0,3.0,4.0,1,1,3,3,1,2,1,641
4,MS,2,1,8,g,3.0,37,35,1,0.0,0.0,0,0,1,1,0,0,2,619
4,MS,2,1,8,g,3.0,37,35,1,0.0,0.0,0,0,1,1,0,0,2,619
2,NY,1,1,3,g,4.0,39,39,0,3.0,4.0,1,0,1,1,0,2,4,650
2,NY,1,1,3,g,4.0,39,39,0,3.0,4.0,1,0,3,3,0,0,4,658
2,NY,1,1,3,g,4.0,39,39,0,3.0,4.0,1,0,3,3,0,0,4,658
2,NY,1,0,3,e,0.0,68,68,0,0.0,0.0,1,1,3,3,1,0,2,654
2,NY,1,0,3,e,0.0,68,68,0,0.0,0.0,1,1,3,3,1,0,2,644
2,NY,1,0,3,e,0.0,68,68,0,0.0,0.0,1,1,3,3,1,0,2,644
0,NY,1,0,0,f,2.0,29,28,1,2.0,4.0,0,0,3,3,0,0,2,666
0,NY,1,0,0,f,2.0,29,28,1,2.0,4.0,0,0,3,3,0,0,2,666
0,NY,1,0,0,f,2.0,29,28,1,2.0,4.0,1,1,2,2,1,0,2,708
0,NY,1,0,0,f,2.0,29,28,1,2.0,4.0,1,1,2,2,1,0,2,711
0,NY,1,0,0,f,2.0,29,28,1,2.0,4.0,1,1,2,2,1,0,2,711
0,NY,1,0,0,f,2.0,29,28,1,2.0,4.0,1,1,2,2,1,0,2,711
0,NY,1,0,0,f,2.0,29,28,1,2.0,4.0,1,1,2,2,1,0,2,711
0,FL,2,0,1,f,4.0,29,29,1,3.0,4.0,1,0,2,2,0,2,3,703
0,FL,2,0,1,f,4.0,29,29,1,3.0,4.0,1,0,2,2,0,2,3,698
0,FL,2,0,1,f,4.0,29,29,1,3.0,4.0,1,0,2,2,0,2,3,698
0,FL,2,0,1,f,4.0,29,29,1,3.0,4.0,1,0,2,2,0,1,3,698
0,FL,2,0,1,f,4.0,29,29,1,3.0,4.0,1,0,2,2,0,2,3,699
4,TN,1,1,11,e,0.0,66,66,0,4.0,3.0,1,1,2,2,1,2,2,605
4,TN,1,1,11,e,0.0,66,66,0,4.0,3.0,1,1,4,3,1,2,2,613
4,TN,1,1,11,e,0.0,66,66,0,4.0,3.0,1,1,4,3,1,2,2,618
0,PA,2,1,10,d,0.0,29,28,1,1.0,4.0,1,1,1,3,1,2,2,676
0,PA,2,1,10,d,0.0,29,28,1,1.0,4.0,1,1,1,3,1,2,2,657
0,PA,2,1,10,d,0.0,29,28,1,1.0,4.0,1,1,1,3,1,2,2,663
0,PA,2,1,10,d,0.0,29,28,1,1.0,4.0,1,1,1,3,1,2,4,673
0,PA,2,1,10,d,0.0,29,28,1,1.0,4.0,1,1,1,3,1,2,4,673
0,PA,2,1,10,d,0.0,29,28,1,1.0,4.0,1,1,1,3,1,2,1,662
0,PA,2,1,10,d,0.0,29,28,1,1.0,4.0,1,1,1,3,1,2,1,662
3,NY,1,1,10,e,1.0,75,75,0,4.0,4.0,2,0,4,3,1,0,2,676
3,NY,1,1,10,e,1.0,75,75,0,4.0,4.0,2,0,4,3,1,0,2,676
2,KY,1,0,18,,3.0,20,20,0,0.0,0.0,0,0,1,1,0,0,2,687
2,KY,1,0,18,,3.0,20,20,0,0.0,0.0,0,0,1,1,0,0,2,685
4,OR,1,0,15,f,0.0,44,44,0,1.0,9.0,1,1,3,3,0,1,1,605
4,OR,1,0,15,f,0.0,44,44,0,1.0,9.0,1,1,2,2,0,1,1,597
4,OR,1,0,15,f,0.0,44,44,0,1.0,9.0,0,1,2,2,0,0,1,570
3,WA,1,0,3,d,0.0,26,26,0,0.0,0.0,1,1,3,2,1,1,2,755
3,WA,1,0,3,d,0.0,26,26,0,0.0,0.0,2,0,1,2,0,3,2,714
3,FL,1,1,9,g,1.0,75,75,0,4.0,15.0,1,0,1,1,0,2,3,581
3,FL,1,1,9,g,1.0,75,75,0,4.0,15.0,1,0,4,3,0,2,3,620
3,FL,1,0,9,f,2.0,59,59,0,1.0,1.0,1,1,2,3,1,1,3,630
3,FL,1,0,9,f,2.0,59,59,0,1.0,9.0,1,1,2,3,1,1,3,605
3,FL,1,0,9,f,2.0,59,59,0,1.0,9.0,1,1,1,3,0,1,3,585
3,FL,1,0,9,f,2.0,59,59,0,1.0,9.0,1,1,1,3,0,1,3,585
3,FL,1,0,9,f,2.0,59,59,0,1.0,9.0,1,1,1,3,0,1,3,585
3,FL,1,0,9,f,2.0,59,59,0,1.0,9.0,1,1,1,3,0,1,3,585
3,FL,1,1,12,g,1.0,70,70,0,4.0,15.0,1,0,2,3,0,2,3,558
3,FL,1,1,12,g,1.0,70,70,0,4.0,15.0,1,1,4,3,1,1,3,599
3,FL,1,1,12,g,1.0,70,70,0,4.0,15.0,1,1,4,3,1,1,3,601
3,FL,1,1,12,g,1.0,70,70,0,4.0,15.0,1,1,4,3,1,1,3,595
2,NY,1,0,6,e,2.0,21,21,0,3.0,5.0,1,0,3,3,0,0,2,626
2,NY,1,0,6,e,2.0,21,21,0,3.0,5.0,1,0,3,3,0,0,2,634
2,NY,1,0,6,e,2.0,21,21,0,3.0,5.0,1,0,3,3,0,0,2,638
1,NH,1,0,2,d,0.0,40,40,0,1.0,3.0,2,0,1,1,1,3,1,649
1,NH,1,0,2,d,0.0,40,40,0,1.0,3.0,2,0,1,1,1,3,1,657
1,NH,1,0,2,d,0.0,40,40,0,1.0,3.0,2,0,1,1,1,3,1,657
1,NH,1,0,2,d,0.0,40,40,0,1.0,3.0,2,0,1,1,1,3,1,653
0,PA,1,0,0,e,4.0,31,31,0,3.0,7.0,1,1,3,3,1,2,4,682
0,PA,1,0,0,e,4.0,31,31,0,3.0,7.0,1,0,3,3,1,2,1,660
0,PA,1,0,0,e,4.0,31,31,0,3.0,7.0,1,0,3,3,1,2,1,660
1,FL,1,1,3,h,2.0,49,49,0,4.0,3.0,1,0,4,3,0,2,3,664
1,FL,1,1,3,h,2.0,49,49,0,4.0,3.0,1,0,4,3,0,2,3,657
1,FL,1,1,3,h,2.0,49,49,0,4.0,3.0,1,0,2,3,0,2,3,645
1,FL,1,1,3,h,2.0,49,49,0,4.0,3.0,1,0,2,3,0,2,3,645
0,NY,2,1,10,e,1.0,73,32,1,3.0,15.0,1,1,3,3,1,0,3,716
0,NY,2,1,10,e,1.0,73,32,1,3.0,15.0,1,1,3,3,1,0,3,716
0,NY,2,1,10,e,1.0,73,32,1,3.0,15.0,1,1,3,3,1,0,3,711
0,NY,2,1,10,e,1.0,73,32,1,3.0,15.0,1,1,3,3,1,0,3,712
0,NY,2,1,10,e,1.0,73,32,1,3.0,15.0,2,1,3,3,1,0,3,706
2,NY,2,1,11,f,1.0,55,54,1,3.0,15.0,1,1,3,3,1,0,2,573
2,NY,2,1,11,f,1.0,55,54,1,3.0,15.0,1,1,4,3,1,0,2,579
2,NY,2,1,11,f,1.0,55,54,1,3.0,15.0,1,1,4,3,1,0,2,580
2,FL,1,1,1,g,3.0,59,59,0,1.0,5.0,1,0,3,3,0,2,3,614
2,FL,1,1,1,g,3.0,59,59,0,1.0,15.0,1,0,3,3,0,2,3,601
2,FL,1,1,1,g,3.0,59,59,0,1.0,15.0,1,0,1,2,0,2,3,560
2,FL,1,1,1,g,3.0,59,59,0,1.0,15.0,1,0,1,2,0,2,3,560
2,FL,1,1,1,g,3.0,59,59,0,1.0,15.0,1,0,1,2,0,2,3,560
1,FL,2,1,1,g,1.0,40,38,1,2.0,4.0,1,0,3,3,1,2,3,594
1,FL,2,1,1,g,1.0,40,38,1,2.0,4.0,1,0,3,3,1,2,3,588
1,FL,2,1,1,g,1.0,40,38,1,2.0,4.0,1,0,3,3,1,2,3,588
1,FL,2,1,1,g,1.0,40,38,1,2.0,4.0,1,0,3,3,1,2,3,583
3,CO,2,1,6,e,4.0,35,33,1,2.0,3.0,1,0,3,3,0,2,2,613
3,CO,2,1,6,e,4.0,35,33,1,2.0,3.0,0,0,2,3,0,0,2,567
4,RI,1,0,8,d,3.0,51,51,0,2.0,1.0,2,0,2,1,1,2,2,665
4,RI,1,0,8,d,0.0,51,51,0,2.0,1.0,2,0,2,1,1,2,2,629
3,PA,2,1,1,i,0.0,47,43,1,3.0,15.0,1,1,3,3,1,1,1,673
3,PA,2,1,1,i,0.0,47,43,1,3.0,15.0,1,1,3,3,1,1,2,681
3,PA,2,1,1,i,0.0,47,43,1,3.0,15.0,1,1,3,3,1,1,2,681
2,MS,1,0,6,f,3.0,38,38,0,1.0,2.0,0,0,1,1,0,0,2,581
2,MS,1,0,6,f,3.0,38,38,0,1.0,2.0,0,0,1,1,0,0,2,587
2,MS,1,0,6,f,3.0,38,38,0,1.0,2.0,0,0,1,1,0,0,2,597
2,MS,1,0,6,f,3.0,38,38,0,1.0,2.0,0,0,1,1,0,0,2,597
2,MS,1,0,6,f,3.0,38,38,0,1.0,2.0,0,0,1,1,0,0,2,597
2,CO,1,1,2,f,3.0,43,43,0,3.0,4.0,1,0,3,3,0,2,2,612
2,CO,1,1,2,f,3.0,43,43,0,3.0,4.0,2,1,3,3,1,2,2,605
1,MT,2,0,6,f,0.0,35,33,1,1.0,5.0,0,0,1,1,0,0,4,546
1,MT,2,0,6,f,0.0,35,33,1,1.0,5.0,2,0,3,3,0,3,4,635
1,MT,2,0,6,f,0.0,35,33,1,1.0,5.0,2,0,3,3,0,3,4,638
1,MT,2,0,6,f,0.0,35,33,1,1.0,5.0,2,0,3,3,0,3,4,639
1,MT,2,0,6,f,0.0,35,33,1,1.0,5.0,2,0,3,3,0,3,4,639
1,MT,2,0,6,f,0.0,35,33,1,1.0,5.0,2,0,3,3,0,3,4,639
1,MT,2,0,6,f,0.0,35,33,1,1.0,5.0,2,0,3,3,0,3,4,639
0,AR,1,0,7,f,0.0,21,21,0,1.0,5.0,0,0,1,1,0,0,4,592
0,AR,1,0,7,f,0.0,21,21,0,1.0,5.0,1,1,1,1,1,2,2,688
1,UT,2,0,15,e,0.0,20,20,1,3.0,3.0,0,1,3,3,0,0,3,586
1,UT,2,0,15,e,0.0,20,20,1,3.0,3.0,0,1,3,3,0,0,3,575
1,UT,2,0,15,e,0.0,20,20,1,3.0,3.0,0,1,2,2,0,0,3,566
1,UT,2,0,15,e,0.0,20,20,1,3.0,3.0,0,1,3,3,0,0,3,575
1,UT,2,0,15,e,0.0,20,20,1,3.0,3.0,0,1,3,3,0,0,3,580
1,UT,2,0,15,e,0.0,20,20,1,3.0,3.0,0,1,3,3,0,0,3,575
1,UT,2,0,15,e,0.0,20,20,1,3.0,3.0,0,1,3,3,0,0,3,575
1,UT,2,0,15,e,0.0,20,20,1,3.0,3.0,0,1,3,3,0,0,3,571
4,WY,1,1,16,f,4.0,60,60,0,3.0,15.0,1,0,3,3,0,2,1,586
4,WY,1,1,16,f,4.0,60,60,0,3.0,15.0,0,0,3,3,0,0,1,525
0,NY,1,0,10,f,1.0,29,29,0,1.0,4.0,0,1,1,1,0,0,2,593
0,NY,1,0,10,f,1.0,29,29,0,1.0,4.0,0,1,1,1,0,0,2,593
0,NY,1,0,10,f,1.0,29,29,0,1.0,4.0,0,1,1,1,0,0,4,602
5,GA,2,1,5,e,2.0,75,75,1,3.0,1.0,0,0,3,2,0,0,4,580
5,GA,2,1,5,e,2.0,75,75,1,3.0,1.0,1,1,3,2,1,2,4,629
5,GA,2,1,5,e,2.0,75,75,1,3.0,1.0,1,1,3,2,1,2,4,622
5,GA,2,1,5,e,2.0,75,75,1,3.0,1.0,1,1,3,2,1,2,2,613
0,NY,1,0,11,f,4.0,24,24,0,3.0,8.0,1,0,2,1,0,0,2,763
0,NY,1,0,11,g,4.0,24,24,0,3.0,8.0,1,0,2,3,0,0,2,703
0,NY,1,0,11,g,4.0,24,24,0,3.0,8.0,1,0,2,3,0,0,2,708
0,GA,1,0,1,f,0.0,38,38,0,1.0,5.0,0,0,2,2,0,0,4,650
0,GA,1,0,1,f,0.0,38,38,0,1.0,5.0,0,0,2,2,0,0,2,639
0,GA,1,0,1,f,0.0,38,38,0,1.0,5.0,1,1,2,2,0,2,2,724
0,GA,1,0,1,f,0.0,38,38,0,1.0,5.0,1,1,2,2,0,2,2,705
0,FL,1,0,10,f,4.0,46,46,0,2.0,4.0,1,1,1,1,1,2,3,670
0,FL,1,0,10,f,4.0,46,46,0,2.0,4.0,1,1,1,3,1,2,3,675
0,FL,1,0,10,f,4.0,46,46,0,2.0,4.0,1,1,2,3,1,2,3,687
4,FL,1,1,8,g,1.0,75,72,1,3.0,1.0,1,1,1,3,1,2,3,602
4,FL,1,1,8,g,1.0,75,72,1,3.0,1.0,1,1,3,3,1,2,3,593
2,TN,1,0,9,f,3.0,19,19,0,4.0,2.0,1,0,2,2,0,2,3,714
2,TN,1,0,9,f,3.0,19,19,0,4.0,2.0,1,0,1,2,0,2,2,699
0,PA,2,1,2,g,0.0,60,58,1,1.0,1.0,2,0,1,1,1,3,1,660
0,PA,2,1,2,g,0.0,60,58,1,1.0,1.0,2,0,1,1,0,3,1,657
0,PA,2,1,2,g,0.0,60,58,1,1.0,1.0,2,0,1,1,0,3,1,657
0,PA,2,1,2,g,0.0,60,58,1,1.0,1.0,2,0,1,1,0,3,1,657
2,MO,1,1,6,e,3.0,75,75,0,3.0,15.0,1,1,3,2,1,2,1,617
2,MO,1,1,6,e,3.0,75,75,0,3.0,15.0,1,1,3,2,1,2,2,619
2,NY,1,1,1,f,2.0,47,42,1,3.0,8.0,2,0,3,2,0,0,2,656
2,NY,1,1,1,f,2.0,47,42,1,3.0,8.0,2,0,3,3,0,0,2,657
2,NY,1,1,1,f,2.0,47,42,1,3.0,8.0,2,0,3,3,0,0,2,657
1,MO,1,0,12,e,4.0,33,33,0,3.0,1.0,1,0,3,3,0,2,2,618
1,MO,1,0,12,e,4.0,33,33,0,3.0,1.0,1,0,3,3,0,2,2,618
1,MO,1,0,12,e,4.0,33,33,0,3.0,1.0,1,0,1,2,0,2,2,609
1,MO,1,0,12,e,4.0,33,33,0,3.0,1.0,1,0,1,2,0,2,2,607
1,MO,1,0,12,e,4.0,33,33,0,3.0,1.0,1,0,1,2,0,2,2,607
2,NY,1,0,1,g,2.0,51,51,0,1.0,6.0,1,0,1,2,0,0,2,691
2,NY,1,0,1,g,2.0,51,51,0,1.0,6.0,1,0,1,2,0,0,2,687
2,NY,1,0,1,g,2.0,51,51,0,1.0,6.0,1,0,1,2,0,0,2,687
2,NY,1,0,1,g,2.0,51,51,0,1.0,6.0,1,0,1,2,0,0,2,687
0,OH,1,0,7,e,0.0,35,35,0,2.0,10.0,1,1,3,3,1,1,2,639
0,OH,1,0,7,e,0.0,35,35,0,2.0,10.0,1,1,3,3,1,1,2,639
3,FL,1,1,11,f,2.0,70,70,0,1.0,15.0,1,1,1,3,1,2,3,664
3,FL,1,1,11,f,2.0,70,70,0,1.0,15.0,1,1,1,3,1,2,3,664
4,OH,2,1,24,f,0.0,67,65,1,2.0,15.0,1,0,3,3,0,2,2,590
4,OH,2,1,24,f,0.0,67,65,1,2.0,15.0,1,0,3,3,0,2,2,590
4,OH,2,1,24,f,0.0,67,65,1,2.0,15.0,1,0,3,3,0,2,2,593
1,FL,1,1,2,f,1.0,59,59,0,3.0,2.0,1,1,2,2,1,1,4,607
1,FL,1,1,2,f,1.0,59,59,0,3.0,2.0,1,1,2,3,1,1,4,618
1,FL,2,1,2,f,2.0,75,59,1,3.0,2.0,1,1,2,3,1,1,4,615
1,FL,2,1,2,f,2.0,75,59,1,3.0,2.0,1,1,2,3,1,2,4,612
1,FL,2,1,2,f,2.0,75,59,1,3.0,2.0,1,1,2,3,1,2,4,612
0,AR,1,0,13,d,0.0,43,43,0,1.0,2.0,0,1,1,1,0,0,3,584
0,AR,1,0,13,d,0.0,43,43,0,1.0,2.0,0,1,1,1,0,0,3,585
2,FL,3,0,3,e,4.0,51,24,1,1.0,6.0,1,0,1,3,1,2,3,685
2,FL,3,0,3,e,4.0,51,24,1,1.0,6.0,1,0,1,3,1,2,3,694
2,FL,3,0,3,e,4.0,51,24,1,1.0,6.0,1,0,1,3,1,2,3,694
2,FL,3,0,3,e,4.0,51,24,1,1.0,6.0,1,0,1,3,1,2,2,746
2,FL,3,0,3,e,4.0,51,24,1,1.0,6.0,1,0,1,3,1,2,2,746
1,PA,1,0,17,,1.0,57,57,0,0.0,0.0,0,0,2,2,0,0,2,659
1,PA,1,0,17,,1.0,57,57,0,0.0,0.0,0,0,2,2,0,0,2,659
1,PA,1,0,17,f,1.0,57,57,0,1.0,1.0,1,0,3,3,0,2,4,625
1,PA,1,0,17,f,1.0,57,57,0,1.0,1.0,1,0,3,3,0,2,4,625
1,PA,1,0,17,f,1.0,57,57,0,1.0,1.0,0,0,3,3,0,2,4,592
1,PA,1,0,17,f,1.0,57,57,0,1.0,1.0,0,0,3,3,0,2,4,576
2,AR,1,1,17,c,0.0,26,26,0,2.0,9.0,1,0,2,2,0,2,2,639
2,AR,1,1,17,c,0.0,26,26,0,2.0,9.0,0,0,2,2,0,0,2,586
2,AR,1,1,17,c,0.0,26,26,0,2.0,9.0,1,0,2,2,0,2,2,647
2,AR,1,1,17,c,0.0,26,26,0,2.0,9.0,1,0,2,2,1,2,2,641
2,AR,1,1,17,c,0.0,26,26,0,2.0,9.0,1,0,2,2,1,2,2,641
4,MD,1,1,1,d,4.0,75,75,0,3.0,6.0,1,1,2,3,1,2,2,690
4,MD,1,1,1,d,4.0,75,75,0,3.0,6.0,1,1,2,3,1,2,1,668
2,NY,1,1,13,d,3.0,55,55,0,2.0,5.0,1,1,2,3,1,0,2,719
2,NY,1,1,13,d,3.0,55,55,0,2.0,5.0,1,1,2,3,1,0,2,723
0,CO,1,1,2,f,0.0,37,37,0,3.0,4.0,1,0,1,1,0,2,1,601
0,CO,1,1,2,f,0.0,37,37,0,3.0,4.0,1,0,1,1,0,2,1,601
0,CO,1,1,2,f,0.0,37,37,0,3.0,4.0,1,0,3,3,0,2,1,612
0,PA,2,1,11,f,3.0,59,59,1,3.0,2.0,1,1,3,3,1,1,1,580
0,PA,2,1,11,f,3.0,59,59,1,3.0,2.0,1,1,3,3,1,0,2,690
1,OH,1,0,7,f,4.0,59,59,0,1.0,3.0,1,0,3,3,1,2,2,647
1,OH,1,0,7,f,4.0,59,59,0,1.0,3.0,1,1,3,3,1,2,2,657
4,FL,2,1,7,f,2.0,33,33,1,2.0,9.0,2,1,2,3,1,3,3,676
4,FL,2,1,7,f,2.0,33,33,1,2.0,9.0,2,1,1,3,1,3,3,668
4,FL,2,1,7,f,2.0,33,33,1,2.0,9.0,2,1,1,3,1,3,3,668
4,FL,2,1,7,f,2.0,33,33,1,2.0,9.0,2,1,1,3,1,3,3,668
4,FL,2,1,7,f,2.0,33,33,1,2.0,9.0,2,1,1,3,1,3,3,665
2,OH,1,0,10,e,0.0,25,25,0,1.0,2.0,1,0,3,3,1,1,3,674
2,OH,1,0,10,e,0.0,25,25,0,1.0,2.0,0,0,1,3,0,0,3,582
1,PA,2,0,3,f,0.0,32,30,1,1.0,0.0,1,1,1,3,0,1,2,672
1,PA,2,0,3,f,0.0,32,30,1,1.0,0.0,1,1,1,3,0,1,2,675
1,PA,2,0,3,f,0.0,32,30,1,1.0,0.0,1,1,1,3,0,1,2,675
1,PA,2,0,3,f,0.0,32,30,1,1.0,0.0,1,1,1,3,0,1,2,675
3,NY,1,1,1,i,3.0,42,42,0,4.0,9.0,1,0,4,3,1,0,2,724
3,NY,1,1,1,i,3.0,42,42,0,4.0,9.0,1,0,4,3,1,0,2,724
3,NY,1,1,1,i,3.0,42,42,0,4.0,9.0,1,0,4,3,1,0,2,725
1,GA,2,1,1,f,3.0,67,65,1,3.0,15.0,0,0,3,2,0,0,4,544
1,GA,2,1,1,f,3.0,67,65,1,3.0,15.0,1,1,3,2,1,1,4,609
1,GA,2,1,1,f,3.0,67,65,1,3.0,15.0,1,1,3,2,1,1,4,611
1,GA,1,1,1,f,4.0,67,65,1,3.0,15.0,1,1,3,2,1,1,4,630
1,GA,1,1,1,f,4.0,67,65,1,3.0,15.0,1,1,3,2,1,1,4,638
1,GA,1,1,1,f,4.0,67,65,1,3.0,15.0,1,1,3,2,1,1,4,638
2,GA,1,1,12,f,0.0,35,35,0,3.0,7.0,0,0,3,2,0,0,4,568
2,GA,1,1,12,f,0.0,35,35,0,3.0,7.0,0,0,3,2,0,0,1,559
